Name,Price,Producer,Width,Depth,Height,Motherboard,Power Supply,Primary Color(s),Window,Dust Filter,Cable Management,Noise Isolation
"PHANTEKS Eclipse P400 Midi-Tower, Tempered Glass - black/white",$86.05,PHANTEKS,210 mm,470 mm,465 mm,E-ATX,ATX,black,TRUE,TRUE,TRUE,FALSE
"NZXT H510i Midi-Tower, RGB, TG - black/red Window",$86.31,NZXT,210 mm,428 mm,460 mm,ATX,ATX,red black,TRUE,TRUE,TRUE,FALSE
"PHANTEKS Eclipse P300 Air Midi-Tower, Tempered Glass - Satin black",$86.88,PHANTEKS,200 mm,400 mm,455 mm,ATX,ATX,black,TRUE,TRUE,TRUE,FALSE
Corsair 4000D Airflow Tempered Glass Midi-Tower - white Window,$87.03,Corsair,230 mm,453 mm,466 mm,E-ATX,ATX,white,TRUE,TRUE,TRUE,FALSE
"NZXT H510i Midi-Tower, RGB, TG - black Window",$87.04,NZXT,210 mm,428 mm,460 mm,ATX,ATX,black,TRUE,TRUE,TRUE,FALSE
"Corsair Carbide SPEC-06, Tempered Glass Midi-Tower - black",$87.04,Corsair,215 mm,455 mm,474 mm,ATX,ATX,black,TRUE,TRUE,TRUE,FALSE
"Corsair Carbide SPEC-06, Tempered Glass Midi-Tower - white",$87.04,Corsair,215 mm,455 mm,474 mm,ATX,ATX,white,TRUE,TRUE,TRUE,FALSE
Fractal Design Meshify C Midi-Tower - black,$87.04,Fractal Design,217 mm,395 mm,440 mm,ATX,ATX,black,FALSE,TRUE,TRUE,FALSE
"PHANTEKS Eclipse P400S Midi-Tower, anthrazit - isolated",$87.04,PHANTEKS,210 mm,470 mm,495 mm,E-ATX,ATX,"anthracite, gray",FALSE,TRUE,TRUE,TRUE
"PHANTEKS Eclipse P400S Midi-Tower, black - isolated",$87.04,PHANTEKS,210 mm,470 mm,495 mm,E-ATX,ATX,black,FALSE,TRUE,TRUE,TRUE
Corsair 4000D Tempered Glass Midi-Tower - black Window,$87.04,Corsair,230 mm,453 mm,466 mm,E-ATX,ATX,black,TRUE,TRUE,TRUE,FALSE
Corsair 4000D Tempered Glass Midi-Tower - white Window,$87.04,Corsair,230 mm,453 mm,466 mm,E-ATX,ATX,white,TRUE,TRUE,TRUE,FALSE
NZXT H500 Midi-Tower - white Window,$88.85,NZXT,210 mm,428 mm,460 mm,ATX,ATX,white,TRUE,TRUE,TRUE,FALSE
Thermaltake Versa H34 Midi-Tower - black Window,$91.41,Thermaltake,209 mm,478 mm,429 mm,ATX,ATX,black,TRUE,TRUE,TRUE,FALSE
"PHANTEKS Eclipse P400S Midi-Tower, Tempered Glass, white - isolated",$91.59,PHANTEKS,210 mm,470 mm,465 mm,E-ATX,ATX,white,TRUE,TRUE,TRUE,TRUE
"PHANTEKS Eclipse P400S Midi-Tower, Tempered Glass, black/red - isolated",$91.61,PHANTEKS,210 mm,470 mm,465 mm,E-ATX,ATX,black,TRUE,TRUE,TRUE,TRUE
NZXT H500 Midi-Tower - black Window,$92.2,NZXT,210 mm,428 mm,460 mm,ATX,ATX,black,TRUE,TRUE,TRUE,FALSE
"Thermaltake Versa C23 TG RGB Midi-Tower, Tempered Glass - black",$93.22,Thermaltake,200 mm,508 mm,510 mm,ATX,ATX,black,TRUE,TRUE,TRUE,FALSE
"Cooler Master MasterBox MB500, TG, black",$93.3,Cooler Master,211 mm,475 mm,494 mm,ATX,ATX,black,TRUE,TRUE,TRUE,FALSE
Fractal Design Define C Midi-Tower - black,$93.56,Fractal Design,210 mm,399 mm,440 mm,ATX,ATX,black,FALSE,TRUE,TRUE,TRUE
"Corsair Carbide SPEC-06 RGB, Tempered Glass Midi-Tower - black",$94.29,Corsair,215 mm,455 mm,474 mm,ATX,ATX,black,TRUE,TRUE,TRUE,FALSE
"Corsair Carbide SPEC-06 RGB, Tempered Glass Midi-Tower - white",$94.29,Corsair,215 mm,455 mm,474 mm,ATX,ATX,white,TRUE,TRUE,TRUE,FALSE
Thermaltake View 21 Tempered Glass Edition Midi-Tower - black,$94.29,Thermaltake,208 mm,492 mm,471 mm,ATX,ATX,black,TRUE,TRUE,TRUE,FALSE
Carbide Series SPEC-OMEGA Tempered Glass Mid-Tower ATX Gaming - Black,$94.29,Corsair,232 mm,516 mm,495 mm,ATX,ATX,black,FALSE,FALSE,FALSE,FALSE
"Fractal Design Define C TG Midi-Tower, black, Tempered Glass",$94.29,Fractal Design,217 mm,413 mm,453 mm,ATX,ATX,black,TRUE,TRUE,TRUE,FALSE
"PHANTEKS Eclipse P400A Midi-Tower, Tempered Glass - black",$94.29,PHANTEKS,210 mm,470 mm,465 mm,E-ATX,ATX,black,TRUE,TRUE,TRUE,FALSE
Lian Li LANCOOL ONE Digital Midi-Tower - black,$94.29,Lian Li,220 mm,450 mm,472 mm,E-ATX,ATX,black,TRUE,TRUE,TRUE,FALSE
PHANTEKS Enthoo Pro Midi-Tower - black,$94.29,PHANTEKS,235 mm,550 mm,535 mm,E-ATX,ATX,black,FALSE,TRUE,TRUE,FALSE
Antec DA601 Midi-Tower - black,$95.74,Antec,220 mm,480 mm,500 mm,E-ATX,ATX,black,TRUE,TRUE,TRUE,FALSE
"Lian Li LANCOOL II Mesh C RGB Snow Edition Midi-Tower, Tempered Glass - white",$95.74,Lian Li,229 mm,478 mm,494 mm,E-ATX,ATX,black-and-white,TRUE,TRUE,FALSE,FALSE
"Montech SKY ONE Lite, Midi-Tower, Tempered Glass - white",$97.58,Montech,220 mm,416 mm,490 mm,ATX,ATX,white,FALSE,TRUE,FALSE,FALSE
"Silverstone SST-RL06BR-GP Redline Midi-Tower, TG - black/red",$97.77,Silverstone,200 mm,455 mm,477 mm,ATX,ATX,"pink, black",TRUE,TRUE,TRUE,FALSE
"Montech SKY TWO, Midi-Tower - black",$97.92,Montech,215 mm,430 mm,490 mm,ATX,ATX,black,FALSE,TRUE,FALSE,FALSE
Fractal Design Meshify C White Tempered Glass Midi-Tower - white,$97.92,Fractal Design,217 mm,395 mm,440 mm,ATX,ATX,white,TRUE,TRUE,TRUE,FALSE
Carbide Series SPEC-ALPHA Mid-Tower Gaming — Black/Red,$98.08,Corsair,220 mm,474 mm,518 mm,ATX,ATX,black/red,FALSE,FALSE,FALSE,FALSE
NZXT H500i Midi-Tower - black Window,$98.23,NZXT,210 mm,428 mm,460 mm,ATX,ATX,black,TRUE,TRUE,TRUE,FALSE
NZXT H500i Midi-Tower - white Window,$98.51,NZXT,210 mm,428 mm,460 mm,ATX,ATX,white,TRUE,TRUE,TRUE,FALSE
"PHANTEKS Eclipse P400S Midi-Tower, white - isolated",$98.53,PHANTEKS,210 mm,470 mm,495 mm,E-ATX,ATX,white,FALSE,TRUE,TRUE,TRUE
