Name,Price,Producer,Width,Depth,Height,Motherboard,Power Supply,Primary Color(s),Window,Dust Filter,Cable Management,Noise Isolation
"Cooler Master MasterBox 540 Midi-Tower, ARGB, Tempered Glass - black",$138.1,Cooler Master,209 mm,499 mm,498 mm,E-ATX,ATX,black,TRUE,FALSE,TRUE,FALSE
"Lian Li PC-O11 Air Midi-Tower, Tempered Glass - black",$139.75,Lian Li,270 mm,476 mm,465 mm,E-ATX,ATX,black,TRUE,TRUE,TRUE,FALSE
"NZXT H700 Midi-Tower, TG - black Window",$140.1,NZXT,230 mm,494 mm,516 mm,ATX,ATX,black,TRUE,TRUE,TRUE,FALSE
"Corsair 5000D Airflow Midi-Tower, Tempered Glass - white",$141.43,Corsair,245 mm,520 mm,520 mm,E-ATX,ATX,white,TRUE,TRUE,TRUE,FALSE
"Corsair 5000D Airflow Midi-Tower, Tempered Glass - black",$141.44,Corsair,245 mm,520 mm,520 mm,E-ATX,ATX,black,TRUE,TRUE,TRUE,FALSE
Corsair Crystal 465X RGB Midi-Tower - black Window,$142.63,Corsair,216 mm,467 mm,455 mm,ATX,ATX,black,TRUE,TRUE,TRUE,FALSE
Thermaltake View 32 TG RGB Midi-Tower - black,$145.42,Thermaltake,227 mm,524 mm,480 mm,ATX,ATX,black,TRUE,TRUE,TRUE,FALSE
"Montech SKY TWO, Midi-Tower - white",$146.38,Montech,215 mm,430 mm,490 mm,ATX,ATX,white,FALSE,TRUE,FALSE,FALSE
Lian Li LANCOOL ONE Midi-Tower - black,$147.12,Lian Li,220 mm,450 mm,472 mm,E-ATX,ATX,black,TRUE,TRUE,TRUE,FALSE
"NZXT H500i Midi-Tower, RGB, TG - black/blue Window",$149.78,NZXT,210 mm,428 mm,460 mm,ATX,ATX,black,TRUE,TRUE,TRUE,FALSE
"Corsair 5000D Midi-Tower, Tempered Glass - black",$152.32,Corsair,245 mm,520 mm,520 mm,E-ATX,ATX,black,TRUE,TRUE,TRUE,FALSE
"Corsair 5000D Midi-Tower, Tempered Glass - white",$152.32,Corsair,245 mm,520 mm,520 mm,E-ATX,ATX,white,TRUE,TRUE,TRUE,FALSE
"Lian Li LANCOOL II Mesh C RGB Midi-Tower, Tempered Glass - black",$153.17,Lian Li,229 mm,478 mm,494 mm,E-ATX,ATX,black,TRUE,TRUE,FALSE,FALSE
Thermaltake Core P5 - black Window,$154.06,Thermaltake,570 mm,333 mm,608 mm,ATX,ATX,black,TRUE,FALSE,TRUE,FALSE
"NZXT H700 Midi-Tower, TG - black/white Window",$156.78,NZXT,230 mm,494 mm,516 mm,ATX,ATX,black,TRUE,TRUE,TRUE,FALSE
"Lian Li O11 Dynamic EVO, Tempered Glass - black",$159.58,Lian Li,285 mm,465 mm,459 mm,E-ATX,ATX,black,TRUE,TRUE,TRUE,FALSE
Corsair Crystal 465X RGB Midi-Tower - white Window,$162.47,Corsair,216 mm,467 mm,455 mm,ATX,ATX,grey black,TRUE,TRUE,TRUE,FALSE
Thermaltake Core P5 - Green Edition Window,$162.48,Thermaltake,570 mm,333 mm,608 mm,ATX,ATX,green,TRUE,TRUE,TRUE,FALSE
Crystal Series 570X RGB ATX Mid-Tower — Red,$165.75,Corsair,234 mm,512 mm,480 mm,ATX,ATX,red,FALSE,FALSE,FALSE,FALSE
NZXT H700 Midi-Tower - black/red Window,$166.83,NZXT,230 mm,494 mm,516 mm,ATX,ATX,black,TRUE,TRUE,TRUE,FALSE
"Lian Li PC-O11D Razer Edition Midi-Tower, Tempered Glass",$166.83,Lian Li,272 mm,445 mm,446 mm,E-ATX,ATX,black,TRUE,TRUE,TRUE,FALSE
Carbide Series SPEC-ALPHA Mid-Tower Gaming — White/Red,$169.09,Corsair,220 mm,474 mm,518 mm,ATX,ATX,white/red,FALSE,FALSE,FALSE,FALSE
NZXT H700 Midi-Tower - black/blue Window,$169.25,NZXT,230 mm,494 mm,516 mm,ATX,ATX,black,TRUE,TRUE,TRUE,FALSE
"Antec GX200 Blue Midi-Tower, Window - black",$17.39,Antec,185 mm,450 mm,412 mm,ATX,ATX,black,TRUE,TRUE,FALSE,FALSE
"Corsair iCUE 5000X RGB Midi-Tower, Tempered Glass - black",$170.46,Corsair,245 mm,520 mm,520 mm,E-ATX,ATX,black,TRUE,TRUE,TRUE,FALSE
"NZXT H500 Overwatch Special Edition Midi-Tower, TG - black/orange Window",$173.42,NZXT,210 mm,428 mm,460 mm,ATX,ATX,black,TRUE,TRUE,TRUE,FALSE
NZXT H700i Midi-Tower - black/red Window,$174.08,NZXT,230 mm,494 mm,516 mm,ATX,ATX,black,TRUE,TRUE,TRUE,FALSE
"Thermaltake Core P5 Ti, Tempered Glass - Space Grey",$175.53,Thermaltake,570 mm,333 mm,608 mm,ATX,ATX,gray,TRUE,FALSE,TRUE,FALSE
"Lian Li O11 Dynamic EVO, Tempered Glass - white",$177.71,Lian Li,285 mm,465 mm,459 mm,E-ATX,ATX,"grey, black, white",TRUE,TRUE,TRUE,FALSE
"NZXT H700i Midi-Tower, RGB, TG - black Window",$180.68,NZXT,230 mm,494 mm,516 mm,ATX,ATX,black,TRUE,TRUE,TRUE,FALSE
Lian Li O11Dynamic XL (ROG Certified) Midi-Tower - white,$181.34,Lian Li,285 mm,471 mm,513 mm,E-ATX,ATX,white,TRUE,TRUE,TRUE,FALSE
"Thermaltake Core X5 ATX-Cube, Tempered Glass - white",$181.34,Thermaltake,371 mm,540 mm,463 mm,E-ATX,ATX,white,TRUE,TRUE,TRUE,FALSE
Thermaltake Core P90 TG Tempered Glass Showcase - black,$182.9,Thermaltake,470 mm,470 mm,615 mm,ATX,ATX,black,TRUE,FALSE,TRUE,FALSE
"Raijintek Asterion Classic Midi-Tower, Tempered Glass - black",$189.47,RAIJINTEK,230 mm,464 mm,525 mm,E-ATX,ATX,black,TRUE,TRUE,TRUE,FALSE
"Thermaltake Core X5 ATX-Cube, Tempered Glass - black",$194.76,Thermaltake,371 mm,540 mm,463 mm,E-ATX,ATX,black,TRUE,TRUE,TRUE,FALSE
Lian Li O11Dynamic XL (ROG Certified) Midi-Tower - black,$195.84,Lian Li,285 mm,471 mm,513 mm,E-ATX,ATX,black,TRUE,TRUE,TRUE,FALSE
"Cooler Master MasterCase SL600M Midi-Tower, Tempered Glass - silver",$199.25,Cooler Master,242 mm,544 mm,573 mm,E-ATX,ATX,black silver,TRUE,FALSE,TRUE,FALSE
Crystal Series 570X RGB ATX Mid-Tower — White,$201.76,Corsair,234 mm,512 mm,480 mm,ATX,ATX,white,FALSE,FALSE,FALSE,FALSE
"NZXT H700i Midi-Tower, RGB, TG - black/white Window",$204.79,NZXT,230 mm,494 mm,516 mm,ATX,ATX,black,TRUE,TRUE,TRUE,FALSE
NZXT H700 PUBG Midi-Tower - Window,$207.04,NZXT,230 mm,494 mm,516 mm,ATX,ATX,"blue, red, black",TRUE,TRUE,TRUE,FALSE
"InWin 309 Midi-Tower, RGB, Tempered Glass - black",$217.61,IN WIN,238 mm,553 mm,500 mm,ATX,ATX,black,TRUE,TRUE,TRUE,FALSE
"PHANTEKS Enthoo 719 Big-Tower, Tempered Glass, DRGB - anthrazit",$217.61,PHANTEKS,240 mm,570 mm,595 mm,E-ATX,ATX,anthracite,TRUE,TRUE,TRUE,FALSE
"Corsair iCUE 5000X RGB Midi-Tower, Tempered Glass - white",$221.23,Corsair,245 mm,520 mm,520 mm,E-ATX,ATX,white,TRUE,TRUE,TRUE,FALSE
"PHANTEKS Enthoo 719 Big-Tower, Tempered Glass, DRGB - black",$224.85,PHANTEKS,240 mm,570 mm,595 mm,E-ATX,ATX,black,TRUE,TRUE,TRUE,FALSE
Corsair Obsidian 500D RGB Special Ed Midi-Tower - black Window,$228.49,Corsair,237 mm,500 mm,507 mm,ATX,ATX,black,TRUE,TRUE,TRUE,FALSE
"Cooler Master MasterCase H500M Midi-Tower, Tempered Glass - black",$239.37,Cooler Master,248 mm,546 mm,544 mm,E-ATX,ATX,black,TRUE,TRUE,TRUE,FALSE
NZXT H700i Ninja SE Midi-Tower - Tempered Glass,$243.12,NZXT,230 mm,494 mm,516 mm,ATX,ATX,blue,TRUE,TRUE,TRUE,FALSE
"Thermaltake Core P5, Tempered Glass - black",$257.66,Thermaltake,570 mm,333 mm,608 mm,ATX,ATX,black,TRUE,FALSE,TRUE,FALSE
"Thermaltake Core P5, Tempered Glass - Snow Edition",$268.38,Thermaltake,570 mm,333 mm,608 mm,ATX,ATX,white,TRUE,FALSE,TRUE,FALSE
"Thermaltake A500 TG Aluminum Midi-Tower, Tempered Glass - space grey",$268.38,Thermaltake,236 mm,510 mm,560 mm,ATX,ATX,"grey, silver",TRUE,TRUE,TRUE,FALSE
Antec TORQUE Midi-Tower - white,$275.64,Antec,285 mm,621 mm,644 mm,ATX,ATX,white,TRUE,FALSE,TRUE,FALSE
"Thermaltake View 71 TG RGB Plus Big-Tower, Tempered Glass - black",$290.46,Thermaltake,274 mm,577 mm,592 mm,E-ATX,ATX,black,TRUE,TRUE,TRUE,FALSE
"Thermaltake Core P7, Tempered Glass - black",$302.47,Thermaltake,570 mm,333 mm,608 mm,E-ATX,ATX,black,TRUE,FALSE,TRUE,FALSE
Antec P110 Luce Midi-Tower - black,$31.18,Antec,230 mm,518 mm,489 mm,ATX,ATX,black,TRUE,TRUE,TRUE,FALSE
