Name,Price,Producer,Length,Slots,8-Pin Connectors,6-Pin Connectors,HDMI,DisplayPort,DVI,Boost Clock,Vram,Memory Clock,TDP
EVGA GeForce RTX 2070 Black Edition,$488.87,EVGA,269.2 mm,2.0,1,0,1,2,1,1620 MHz,8 GB,14000 MHz,175 W
MSI GeForce RTX 3060 Ti Gaming X 8G LHR,$507.76,MSI,278 mm,2.5,1,1,1,3,0,1770 MHz,8 GB,14000 MHz,220 W
ASUS GeForce RTX 2070 Super Dual O8G Evo,$507.76,ASUS,267 mm,2.75,1,1,1,1,0,1815 MHz,8 GB,14000 MHz,260 W
ZOTAC GAMING GeForce RTX 2060 Super AMP! Edition,$509.94,ZOTAC,268 mm,2.0,1,1,1,1,0,1680 MHz,8 GB,14000 MHz,175 W
ZOTAC GAMING GeForce RTX 2070 Super Mini Edition,$511.17,ZOTAC,209.6 mm,2.0,1,1,1,3,0,1770 MHz,8 GB,14000 MHz,215 W
Gigabyte GeForce RTX 2070 Super Windforce OC 3X,$514.2,Gigabyte,286 mm,2.5,1,1,1,3,0,1785 MHz,8 GB,14000 MHz,260 W
ZOTAC GAMING GeForce RTX 2070 Super AMP! Edition,$514.68,ZOTAC,268 mm,2.0,1,1,1,1,0,1800 MHz,8 GB,14000 MHz,215 W
EVGA GeForce RTX 2070 Super XC Gaming,$540.39,EVGA,269.83 mm,2.75,1,1,1,1,0,1800 MHz,8 GB,14000 MHz,260 W
EVGA GeForce RTX 2070 Super XC Ultra Gaming,$540.39,EVGA,269.83 mm,3.0,1,1,1,1,0,1800 MHz,8 GB,14000 MHz,260 W
EVGA GeForce RTX 2070 XC,$546.4,EVGA,269.2 mm,2.0,1,0,1,3,0,1710 MHz,8 GB,14000 MHz,175 W
ZOTAC GAMING GeForce RTX 2070 AMP! Edition,$553.71,ZOTAC,268 mm,2.0,1,1,1,3,0,MHz,8 GB,14000 MHz,225 W
EVGA GeForce RTX 2070 Super FTW3 Ultra Gaming,$558.53,EVGA,301.925 mm,2.75,2,0,1,1,0,1815 MHz,8 GB,14000 MHz,260 W
EVGA GeForce RTX 2070 Super Gaming,$563.54,EVGA,265.63 mm,2.0,1,1,1,1,0,1770 MHz,8 GB,14000 MHz,260 W
MSI GeForce RTX 3070 Ventus 3X Plus 8G OC LHR,$565.79,MSI,305 mm,2.5,2,0,1,3,0,MHz,8 GB,14000 MHz,220 W
