Name,Price,Producer,Socket,Chipset,Unlocked,Form Factor,Memory Type,Memory Capacity,RAM Slots,SATA,VGA,DVI,Display Port,HDMI,WiFi,Integrated Graphics
ASUS ROG Strix Z490-H Gaming,$229.78,ASUS,1200,Z490,TRUE,ATX,DDR4,128 GB,4,6,0,0,0,0,FALSE,FALSE
MSI MEG Z490 ACE,$245.89,MSI,1200,Z490,TRUE,ATX,DDR4,128 GB,4,6,0,0,0,0,TRUE,FALSE
Gigabyte Z590 Aorus Pro AX,$265.58,Gigabyte,1200,Z590,TRUE,ATX,DDR4,128 GB,4,6,0,0,1,0,TRUE,FALSE
MSI MEG Z590 ACE,$308.09,MSI,1200,Z590,TRUE,ATX,DDR4,128 GB,4,6,0,0,1,1,TRUE,FALSE
MSI MEG Z590 ACE Gold Edition,$319.16,MSI,1200,Z590,TRUE,ATX,DDR4,128 GB,4,6,0,0,2,1,TRUE,FALSE
ASUS ProART Z490-CREATOR 10G,$335.81,ASUS,1200,Z490,TRUE,ATX,DDR4,128 GB,4,6,0,0,0,1,FALSE,FALSE
ASUS ROG Strix Z490-F Gaming,$338.91,ASUS,1200,Z490,TRUE,ATX,DDR4,128 GB,4,6,0,0,0,0,FALSE,FALSE
ASRock Z490 Taichi,$365.71,ASRock,1200,Z490,TRUE,ATX,DDR4,128 GB,4,8,0,0,0,0,FALSE,FALSE
ASRock H570 Phantom Gaming 4,$76.16,ASRock,1200,H570,FALSE,ATX,DDR4,128 GB,4,6,0,0,1,1,TRUE,FALSE
MSI MAG Z590 Torpedo,$79.05,MSI,1200,Z590,TRUE,ATX,DDR4,128 GB,4,6,0,0,1,1,TRUE,FALSE
ASRock Z790 PG Lightning,$103.61,ASRock,1700,Z790,FALSE,ATX,DDR5,128 GB,4,4,0,0,0,1,FALSE,FALSE
ASRock B660 Pro RS,$131.51,ASRock,1700,B660,FALSE,ATX,DDR4,128 GB,4,6,0,0,1,1,TRUE,FALSE
Gigabyte B660M DS3H AX DDR4,$137.08,Gigabyte,1700,B660,FALSE,ATX,DDR4,128 GB,4,4,0,0,1,1,TRUE,FALSE
Gigabyte B660 A Master DDR4,$172.63,Gigabyte,1700,B660,FALSE,ATX,DDR4,128 GB,4,4,0,0,1,1,TRUE,FALSE
MSI Pro Z690-A DDR4,$193.66,MSI,1700,Z690,TRUE,ATX,DDR4,128 GB,4,6,0,0,1,1,FALSE,FALSE
MSI MAG B660 TOMAHAWK WIFI DDR4,$195.13,MSI,1700,B660,FALSE,ATX,DDR4,128 GB,4,6,0,0,1,1,TRUE,FALSE
Gigabyte B660 Gaming X AX DDR4,$208.18,Gigabyte,1700,B660,FALSE,ATX,DDR4,128 GB,4,4,0,0,1,1,TRUE,FALSE
ASUS Prime Z790-P WiFi,$210.35,ASUS,1700,Z790,FALSE,ATX,DDR5,128 GB,4,4,0,0,1,1,TRUE,FALSE
ASUS PRIME Z690-A,$225.35,ASUS,1700,Z690,TRUE,ATX,DDR5,128 GB,4,4,0,0,1,1,FALSE,FALSE
ASUS ROG MAXIMUS Z690 FORMULA,$659.35,ASUS,1700,Z690,TRUE,ATX,DDR5,128 GB,4,6,0,0,0,1,TRUE,FALSE
Gigabyte B550 Gaming X V2 Rev 1.1,$100.81,Gigabyte,AM4,B550,FALSE,ATX,DDR4,128 GB,4,4,0,1,0,1,FALSE,FALSE
ASRock B550 Pro4,$112.43,ASRock,AM4,B550,FALSE,ATX,DDR4,128 GB,4,6,0,0,0,0,FALSE,FALSE
ASRock B450 Steel Legend,$114.2,ASRock,AM4,B450,TRUE,ATX,DDR4,128 GB,4,6,0,0,1,1,FALSE,FALSE
"MSI X570-A Pro, AMD X570",$141.44,MSI,AM4,X570,TRUE,ATX,DDR4,128 GB,4,6,0,0,0,1,FALSE,FALSE
Gigabyte B550 Aorus Elite AX V2,$144.34,Gigabyte,AM4,B550,FALSE,ATX,DDR4,128 GB,4,4,0,0,1,1,TRUE,FALSE
MSI MAG B550 Tomahawk,$145.06,MSI,AM4,B550,FALSE,ATX,DDR4,128 GB,4,6,0,0,1,1,FALSE,FALSE
MSI B550-A Pro,$145.07,MSI,AM4,B550,FALSE,ATX,DDR4,128 GB,4,6,0,0,1,1,FALSE,FALSE
